drink_name,drink_price,restaurant_genre,restaurant_name,restaurant_address,restaurant_tel,restaurant_latitude,restaurant_longitude,restaurant_url
【奈良】百楽門 どぶろく,900,くじら料理、鍋（その他）、魚介料理・海鮮料理,どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,050-5456-7448,,,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/
お得に飲める 四合瓶,,くじら料理、鍋（その他）、魚介料理・海鮮料理,どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,050-5456-7448,,,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/
【新潟】洗心,10000,くじら料理、鍋（その他）、魚介料理・海鮮料理,どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,050-5456-7448,,,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/
【宮城】浦霞 禅,5500,くじら料理、鍋（その他）、魚介料理・海鮮料理,どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,050-5456-7448,,,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/
【石川】菊姫 平成五年醸造,15000,くじら料理、鍋（その他）、魚介料理・海鮮料理,どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,050-5456-7448,,,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/
【新潟】 八海山,8500,くじら料理、鍋（その他）、魚介料理・海鮮料理,どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,050-5456-7448,,,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/
【新潟】久保田 萬寿,7800,くじら料理、鍋（その他）、魚介料理・海鮮料理,どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,050-5456-7448,,,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/
【石川】手取川 古古酒,9500,くじら料理、鍋（その他）、魚介料理・海鮮料理,どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,050-5456-7448,,,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/
【山口】獺祭 二割三分,8800,くじら料理、鍋（その他）、魚介料理・海鮮料理,どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,050-5456-7448,,,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/
【山口】獺祭 しぼりたて生,6500,くじら料理、鍋（その他）、魚介料理・海鮮料理,どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,050-5456-7448,,,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/
【山口】獺祭 発砲にごり,4800,くじら料理、鍋（その他）、魚介料理・海鮮料理,どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,050-5456-7448,,,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/
【福井】梵 極秘蔵,8800,くじら料理、鍋（その他）、魚介料理・海鮮料理,どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,050-5456-7448,,,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/
【広島】竹鶴 三年古酒,8500,くじら料理、鍋（その他）、魚介料理・海鮮料理,どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,050-5456-7448,,,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/
【山梨】旦 無濾過生原酒,8000,くじら料理、鍋（その他）、魚介料理・海鮮料理,どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,050-5456-7448,,,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/
【静岡】磯自慢,8000,くじら料理、鍋（その他）、魚介料理・海鮮料理,どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,050-5456-7448,,,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/
【福島】飛露喜,7500,くじら料理、鍋（その他）、魚介料理・海鮮料理,どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,050-5456-7448,,,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/
【福井】黒龍 愛山,7500,くじら料理、鍋（その他）、魚介料理・海鮮料理,どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,050-5456-7448,,,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/
【熊本】香露,6500,くじら料理、鍋（その他）、魚介料理・海鮮料理,どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,050-5456-7448,,,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/
【大阪】富楼那,6000,くじら料理、鍋（その他）、魚介料理・海鮮料理,どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,050-5456-7448,,,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/
こだわりの焼酎 30種以上ご用意,,くじら料理、鍋（その他）、魚介料理・海鮮料理,どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,050-5456-7448,,,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/
魔王,900,くじら料理、鍋（その他）、魚介料理・海鮮料理,どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,050-5456-7448,,,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/
天使の誘惑,850,くじら料理、鍋（その他）、魚介料理・海鮮料理,どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,050-5456-7448,,,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/
晴耕雨讀,750,くじら料理、鍋（その他）、魚介料理・海鮮料理,どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,050-5456-7448,,,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/
宝山 芋麹全量,800,くじら料理、鍋（その他）、魚介料理・海鮮料理,どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,050-5456-7448,,,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/
富乃宝山,700,くじら料理、鍋（その他）、魚介料理・海鮮料理,どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,050-5456-7448,,,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/
黒霧島,600,くじら料理、鍋（その他）、魚介料理・海鮮料理,どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,050-5456-7448,,,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/
爆弾のハナタレ,1000,くじら料理、鍋（その他）、魚介料理・海鮮料理,どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,050-5456-7448,,,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/
万暦,1000,くじら料理、鍋（その他）、魚介料理・海鮮料理,どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,050-5456-7448,,,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/
たちばな原酒,800,くじら料理、鍋（その他）、魚介料理・海鮮料理,どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,050-5456-7448,,,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/
なかむら 原酒,800,くじら料理、鍋（その他）、魚介料理・海鮮料理,どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,050-5456-7448,,,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/
刀,900,くじら料理、鍋（その他）、魚介料理・海鮮料理,どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,050-5456-7448,,,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/
薩摩の風,600,くじら料理、鍋（その他）、魚介料理・海鮮料理,どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,050-5456-7448,,,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/
克,600,くじら料理、鍋（その他）、魚介料理・海鮮料理,どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,050-5456-7448,,,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/
七窪,600,くじら料理、鍋（その他）、魚介料理・海鮮料理,どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,050-5456-7448,,,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/
きろく,700,くじら料理、鍋（その他）、魚介料理・海鮮料理,どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,050-5456-7448,,,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/
伊佐美,900,くじら料理、鍋（その他）、魚介料理・海鮮料理,どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,050-5456-7448,,,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/
吉兆宝山,700,くじら料理、鍋（その他）、魚介料理・海鮮料理,どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,050-5456-7448,,,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/
山ねこ,700,くじら料理、鍋（その他）、魚介料理・海鮮料理,どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,050-5456-7448,,,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/
海,700,くじら料理、鍋（その他）、魚介料理・海鮮料理,どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,050-5456-7448,,,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/
くじら,700,くじら料理、鍋（その他）、魚介料理・海鮮料理,どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,050-5456-7448,,,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/
夢想仙楽,800,くじら料理、鍋（その他）、魚介料理・海鮮料理,どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,050-5456-7448,,,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/
中々,700,くじら料理、鍋（その他）、魚介料理・海鮮料理,どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,050-5456-7448,,,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/
一粒の麦,600,くじら料理、鍋（その他）、魚介料理・海鮮料理,どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,050-5456-7448,,,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/
兼八,800,くじら料理、鍋（その他）、魚介料理・海鮮料理,どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,050-5456-7448,,,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/
兼重,800,くじら料理、鍋（その他）、魚介料理・海鮮料理,どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,050-5456-7448,,,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/
萬屋次兵衛 二五年 原酒,1000,くじら料理、鍋（その他）、魚介料理・海鮮料理,どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,050-5456-7448,,,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/
野うさぎの走り,800,くじら料理、鍋（その他）、魚介料理・海鮮料理,どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,050-5456-7448,,,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/
天誅,600,くじら料理、鍋（その他）、魚介料理・海鮮料理,どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,050-5456-7448,,,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/
大石,700,くじら料理、鍋（その他）、魚介料理・海鮮料理,どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,050-5456-7448,,,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/
鍛高譚,600,くじら料理、鍋（その他）、魚介料理・海鮮料理,どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,050-5456-7448,,,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/
里の曙,600,くじら料理、鍋（その他）、魚介料理・海鮮料理,どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,050-5456-7448,,,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/
昇龍古酒,800,くじら料理、鍋（その他）、魚介料理・海鮮料理,どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,050-5456-7448,,,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/
琉球古酒,600,くじら料理、鍋（その他）、魚介料理・海鮮料理,どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,050-5456-7448,,,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/
菊乃露,600,くじら料理、鍋（その他）、魚介料理・海鮮料理,どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,050-5456-7448,,,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/
ルイ・ロデオール,10000,くじら料理、鍋（その他）、魚介料理・海鮮料理,どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,050-5456-7448,,,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/
アンリオ・スーヴェラン,,くじら料理、鍋（その他）、魚介料理・海鮮料理,どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,050-5456-7448,,,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/
白ワイン,,くじら料理、鍋（その他）、魚介料理・海鮮料理,どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,050-5456-7448,,,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/
赤ワイン,,くじら料理、鍋（その他）、魚介料理・海鮮料理,どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,050-5456-7448,,,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/
梅酒 純米原酒仕込み,850,くじら料理、鍋（その他）、魚介料理・海鮮料理,どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,050-5456-7448,,,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/
にごり梅酒,700,くじら料理、鍋（その他）、魚介料理・海鮮料理,どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,050-5456-7448,,,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/
カシスソーダ,700,くじら料理、鍋（その他）、魚介料理・海鮮料理,どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,050-5456-7448,,,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/
100％オレンジジュース,350,くじら料理、鍋（その他）、魚介料理・海鮮料理,どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,050-5456-7448,,,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/
コーラ,300,くじら料理、鍋（その他）、魚介料理・海鮮料理,どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,050-5456-7448,,,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/
ジンジャーエール,300,くじら料理、鍋（その他）、魚介料理・海鮮料理,どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,050-5456-7448,,,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/
